"Name";"Effort";"2018-05-01";"2018-06-01";"2018-07-01";"2018-08-01";"2018-09-01";"2018-10-01";"2018-11-01";"2018-12-01";"2019-01-01";"2019-02-01";"2019-03-01";"2019-04-01";"2019-05-01";"2019-06-01"
"Karl Benedict";24.0;"";"";1.5;3.8;0.8;1.3;2.3;0.8;1.5;1.0;2.3;2.0;4.0;3.0
"  Collections Development";1.0;"";"";"";0.8;"";"";"";"";"";"";"";"";"";0.3
"    Develop Selection Criteria / Collection Development Policy";0.8;"";"";"";0.8;"";"";"";"";"";"";"";"";"";""
"    Collection Development Crowdsource Event";0.3;"";"";"";"";"";"";"";"";"";"";"";"";"";0.3
"  Administrative";10.0;"";"";1.5;1.0;0.8;1.3;0.3;0.8;"";"";1.8;"";"";2.8
"    Hire Graduate Assistant (Year 1)";0.5;"";"";0.5;"";"";"";"";"";"";"";"";"";"";""
"    Form Editorial Board";1.0;"";"";1.0;"";"";"";"";"";"";"";"";"";"";""
"    Form Metadata Enhancement Working Group";1.0;"";"";"";1.0;"";"";"";"";"";"";"";"";"";""
"    Advisory Board Meetings";3.0;"";"";"";"";0.8;"";"";0.8;"";"";0.8;"";"";0.8
"    Hire Web Application Developer";1.5;"";"";"";"";"";1.3;0.3;"";"";"";"";"";"";""
"    Form Assessment Working Group";1.0;"";"";"";"";"";"";"";"";"";"";1.0;"";"";""
"    Project Reports";2.0;"";"";"";"";"";"";"";"";"";"";"";"";"";2.0
"  Metadata Enhancement";7.0;"";"";"";2.0;"";"";2.0;"";1.5;1.0;0.5;"";"";""
"    Planning";6.0;"";"";"";2.0;"";"";2.0;"";1.5;0.5;"";"";"";""
"    Implementation";1.0;"";"";"";"";"";"";"";"";"";0.5;0.5;"";"";""
"  Assessment";2.0;"";"";"";"";"";"";"";"";"";"";"";2.0;"";""
"    Planning";2.0;"";"";"";"";"";"";"";"";"";"";"";2.0;"";""
"  Outreach";4.0;"";"";"";"";"";"";"";"";"";"";"";"";4.0;""
"    RDAP 2019 Workshop";4.0;"";"";"";"";"";"";"";"";"";"";"";"";4.0;""
"Nancy Hoebelheinrich";23.0;"";"";1.3;5.0;0.8;"";4.0;0.8;1.5;0.9;1.3;2.0;4.0;1.6
"  Collections Development";4.6;"";"";0.3;2.0;"";"";2.0;"";"";"";"";"";"";0.4
